Player,Pos,Age,Year,Apps,Starts,Min,Gls,Ast
Mary Harvey,GK,26,1991,6,6,540,0,0
Julie Foudy,MF,20,1991,6,6,540,1,2
Carla Overbeck,DF,23,1991,6,6,507,0,0
Carin Jennings-Gabarra,FW,26,1991,6,6,491,6,3
Michelle Akers,MFFW,25,1991,6,6,491,10,1
Linda Hamilton,DF,22,1991,6,5,507,0,0
Mia Hamm,MFFW,19,1991,6,5,499,2,1
Joy Fawcett,DF,23,1991,5,5,450,1,0
Shannon Higgins-Cirovski,MF,23,1991,5,5,450,0,2
Kristine Lilly,MFFW,19,1991,6,5,419,0,0
April Heinrichs,FW,27,1991,5,5,352,4,2
Debbie Rademacher,DF,25,1991,4,2,252,0,0
Brandi Chastain,MFFWDF,22,1991,2,1,139,0,0
Lori Henry,0,25,1991,2,1,123,0,0
Tracey Leone,MF,24,1991,1,1,90,0,0
Wendy Gebauer,FW,24,1991,1,1,90,1,0
Joy Fawcett,DF,27,1995,6,6,540,1,0
Carla Overbeck,DF,27,1995,6,6,540,1,0
Tisha Venturini,MF,22,1995,6,6,530,3,0
Kristine Lilly,MFFW,23,1995,6,6,518,3,0
Mia Hamm,MFFW,23,1995,6,6,511,2,2
Linda Hamilton,DF,26,1995,6,6,467,0,0
Carin Jennings-Gabarra,FW,30,1995,6,5,480,0,0
Julie Foudy,MF,24,1995,6,5,479,1,2
Briana Scurry,GK,23,1995,5,5,450,0,0
Tiffeny Milbrett,FW,22,1995,6,4,392,3,0
Tiffany Roberts,MFDF,18,1995,5,4,359,0,0
Thori Staples Bryan,DF,21,1995,4,2,239,0,0
Michelle Akers,MFFW,29,1995,2,2,108,0,0
Saskia Webber,GK,24,1995,1,1,90,0,0
Amanda Cromwell,MF,24,1995,2,1,71,0,0
Holly Manthei,FW,18,1995,2,1,59,0,0
Debbie Keller,FW,20,1995,4,0,92,1,0
Sarah Rafanelli,FW,22,1995,2,0,15,0,0
Joy Fawcett,DF,31,1999,6,6,570,1,1
Briana Scurry,GK,27,1999,6,6,570,0,0
Kristine Lilly,MFFW,27,1999,6,6,570,2,1
Carla Overbeck,DF,31,1999,6,6,570,0,0
Brandi Chastain,MFFWDF,30,1999,6,6,553,1,2
Mia Hamm,MFFW,27,1999,6,6,486,2,2
Cindy Parlow Cone,MFFW,21,1999,6,6,430,2,2
Tiffeny Milbrett,FW,26,1999,6,5,509,3,0
Julie Foudy,MF,28,1999,6,5,499,1,3
Kate Markgraf,DF,22,1999,5,5,436,0,0
Michelle Akers,MFFW,33,1999,5,5,406,2,1
Shannon MacMillan,MFFW,24,1999,6,1,247,1,3
Sara Whalen,DF,23,1999,3,1,164,0,0
Tisha Venturini,MF,26,1999,2,1,95,2,0
Tiffany Roberts,MFDF,22,1999,2,1,78,0,0
Lorrie Fair,MF,20,1999,4,0,68,0,0
Christie Pearce,DF,23,1999,1,0,17,0,0
Danielle Fotopoulos,FW,23,1999,1,0,2,0,0
Joy Fawcett,DF,35,2003,6,6,540,0,0
Briana Scurry,GK,31,2003,6,6,540,0,0
Kate Markgraf,DF,26,2003,6,6,517,0,0
Kristine Lilly,MFFW,31,2003,6,6,496,2,0
Cat Whitehill,DF,21,2003,6,5,494,2,0
Julie Foudy,MF,32,2003,6,5,473,1,2
Mia Hamm,MFFW,31,2003,5,5,450,2,1
Shannon Boxx,MF,25,2003,5,5,431,2,0
Abby Wambach,FW,23,2003,6,5,426,3,0
Cindy Parlow Cone,MFFW,25,2003,5,5,294,2,1
Christie Pearce,DF,27,2003,4,4,360,0,0
Kylie Bivens,DF,24,2003,5,3,271,0,0
Aly Wagner,MF,22,2003,4,2,194,0,0
Tiffeny Milbrett,FW,30,2003,6,1,242,1,0
Tiffany Roberts,MFDF,26,2003,2,1,109,0,0
Brandi Chastain,MFFWDF,34,2003,1,1,46,0,0
Shannon MacMillan,MFFW,28,2003,2,0,40,0,0
Danielle Slaton,DF,23,2003,1,0,17,0,0
Cat Whitehill,DF,25,2007,6,6,540,0,0
Lori Chalupny,MF,23,2007,6,6,540,2,1
Abby Wambach,FW,27,2007,6,6,536,6,0
Kristine Lilly,MFFW,35,2007,6,6,533,1,1
Stephanie Cox,DF,21,2007,6,6,496,0,0
Christie Pearce,DF,31,2007,6,6,483,0,0
Heather O'Reilly,MFFW,22,2007,6,5,443,2,0
Kate Markgraf,DF,30,2007,5,5,434,0,0
Leslie Osborne,MF,24,2007,5,4,386,0,0
Hope Solo,GK,25,2007,4,4,360,0,0
Shannon Boxx,MF,29,2007,5,4,351,1,1
Carli Lloyd,MF,24,2007,5,3,252,0,0
Briana Scurry,GK,35,2007,2,2,180,0,0
Marian Dougherty,DF,22,2007,2,1,106,0,0
Lindsay Tarpley,MFFW,23,2007,3,1,104,0,0
Aly Wagner,MF,26,2007,1,1,59,0,0
Tina Ellertson,DF,25,2007,3,0,87,0,0
Natasha Kai,FW,24,2007,3,0,5,0,0
Ali Krieger,MFDF,26,2011,6,6,600,0,0
Abby Wambach,FW,31,2011,6,6,600,4,1
Hope Solo,GK,29,2011,6,6,600,0,0
Christie Pearce,DF,35,2011,6,6,600,0,0
Carli Lloyd,MF,28,2011,6,6,575,1,0
