Date,Year,Month,Day,Average Price,Total Volume,Type,Region
2015-12-27,2015,12,27,1.33,64237.0,conventional,Albany
2015-12-20,2015,12,20,1.35,54877.0,conventional,Albany
2015-12-13,2015,12,13,0.93,118220.0,conventional,Albany
2015-12-06,2015,12,6,1.08,78992.0,conventional,Albany
2015-11-29,2015,11,29,1.28,51040.0,conventional,Albany
2015-11-22,2015,11,22,1.26,55980.0,conventional,Albany
2015-11-15,2015,11,15,0.99,83454.0,conventional,Albany
2015-11-08,2015,11,8,0.98,109428.0,conventional,Albany
2015-11-01,2015,11,1,1.02,99811.0,conventional,Albany
2015-10-25,2015,10,25,1.07,74339.0,conventional,Albany
2015-10-18,2015,10,18,1.12,84843.0,conventional,Albany
2015-10-11,2015,10,11,1.28,64489.0,conventional,Albany
2015-10-04,2015,10,4,1.31,61007.0,conventional,Albany
2015-09-27,2015,9,27,0.99,106803.0,conventional,Albany
2015-09-20,2015,9,20,1.33,69759.0,conventional,Albany
2015-09-13,2015,9,13,1.28,76111.0,conventional,Albany
2015-09-06,2015,9,6,1.11,99173.0,conventional,Albany
2015-08-30,2015,8,30,1.07,105694.0,conventional,Albany
2015-08-23,2015,8,23,1.34,79992.0,conventional,Albany
2015-08-16,2015,8,16,1.33,80044.0,conventional,Albany
2015-08-09,2015,8,9,1.12,111141.0,conventional,Albany
2015-08-02,2015,8,2,1.45,75133.0,conventional,Albany
2015-07-26,2015,7,26,1.11,106757.0,conventional,Albany
2015-07-19,2015,7,19,1.26,96617.0,conventional,Albany
2015-07-12,2015,7,12,1.05,124055.0,conventional,Albany
2015-07-05,2015,7,5,1.35,109252.0,conventional,Albany
2015-06-28,2015,6,28,1.37,89535.0,conventional,Albany
2015-06-21,2015,6,21,1.27,104849.0,conventional,Albany
2015-06-14,2015,6,14,1.32,89631.0,conventional,Albany
2015-06-07,2015,6,7,1.07,122743.0,conventional,Albany
2015-05-31,2015,5,31,1.23,95124.0,conventional,Albany
2015-05-24,2015,5,24,1.19,101471.0,conventional,Albany
2015-05-17,2015,5,17,1.43,109857.0,conventional,Albany
2015-05-10,2015,5,10,1.26,120428.0,conventional,Albany
2015-05-03,2015,5,3,1.2,59198.0,conventional,Albany
2015-04-26,2015,4,26,1.22,49585.0,conventional,Albany
2015-04-19,2015,4,19,1.19,49065.0,conventional,Albany
2015-04-12,2015,4,12,1.13,48364.0,conventional,Albany
2015-04-05,2015,4,5,1.16,47362.0,conventional,Albany
2015-03-29,2015,3,29,1.02,67799.0,conventional,Albany
2015-03-22,2015,3,22,1.12,46347.0,conventional,Albany
2015-03-15,2015,3,15,1.11,43046.0,conventional,Albany
2015-03-08,2015,3,8,1.07,40507.0,conventional,Albany
2015-03-01,2015,3,1,0.99,55596.0,conventional,Albany
2015-02-22,2015,2,22,1.07,45675.0,conventional,Albany
2015-02-15,2015,2,15,1.06,41568.0,conventional,Albany
2015-02-08,2015,2,8,0.99,51254.0,conventional,Albany
2015-02-01,2015,2,1,0.99,70874.0,conventional,Albany
2015-01-25,2015,1,25,1.06,45148.0,conventional,Albany
2015-01-18,2015,1,18,1.17,44511.0,conventional,Albany
2015-01-11,2015,1,11,1.24,41195.0,conventional,Albany
2015-01-04,2015,1,4,1.22,40873.0,conventional,Albany
2015-12-27,2015,12,27,0.99,386100.0,conventional,Atlanta
2015-12-20,2015,12,20,1.08,331378.0,conventional,Atlanta
2015-12-13,2015,12,13,0.96,417772.0,conventional,Atlanta
2015-12-06,2015,12,6,1.07,357637.0,conventional,Atlanta
2015-11-29,2015,11,29,0.99,333281.0,conventional,Atlanta
