business_name,business_postal_code,inspection_date,month,day,inspection_score,risk_category
Sushirrito,94111,2019-03-01,3,1,86.0,Low Risk
Swensen's of SF Inc,94109,2018-02-13,2,13,96.0,Low Risk
Vinyl Cafe and Wine Bar,94117,2017-01-10,1,10,77.0,High Risk
Andrea's Bakery,94112,2017-10-25,10,25,65.0,Moderate Risk
MORNING DUE,94104,2018-08-09,8,9,86.0,Low Risk
Azucar Lounge,94103,2018-03-14,3,14,94.0,Low Risk
Tai Chi Restaurant,94109,2018-08-02,8,2,80.0,Low Risk
Little Saigon Deli,94105,2019-07-29,7,29,87.0,High Risk
95245 Doggie Diner/Taqueria,94107,2019-04-12,4,12,92.0,Moderate Risk
EVERGREEN MARKET,94110,2018-07-11,7,11,75.0,High Risk
VEGA PIZZERIA,94110,2018-05-09,5,9,92.0,Low Risk
Wow Naan-N-Curry,94122,2018-03-16,3,16,90.0,Low Risk
95118 Portables 3  Da Poke-Man,94107,2019-07-19,7,19,98.0,Low Risk
Estela's,94108,2019-02-01,2,1,92.0,Moderate Risk
Harvest Urban Market,94103,2019-07-16,7,16,82.0,Low Risk
PRINCESS BAKERY,94112,2019-02-26,2,26,68.0,Low Risk
Catering With Style,94110,2018-06-04,6,4,67.0,Moderate Risk
Goodfellas Pizzeria & Grill,94133,2017-08-14,8,14,84.0,Low Risk
Pine Tar Grill and Bar,94901,2019-05-16,5,16,92.0,Low Risk
CASA MEXICANA,94114,2019-04-24,4,24,83.0,Moderate Risk
Its Tops Coffee Shop,94103,2018-03-08,3,8,74.0,Moderate Risk
T C PASTRY,94122,2018-05-03,5,3,88.0,Moderate Risk
GORDO TAQUERIA #2,94122,2018-01-29,1,29,90.0,Low Risk
"PATPONG THAI CUISINE, INC.",94121,2018-05-31,5,31,86.0,Low Risk
Nama Sushi,94107,2019-03-29,3,29,82.0,Moderate Risk
STARBUCKS,94105,2019-06-11,6,11,96.0,Low Risk
Piraat Pizza,94102,2019-01-08,1,8,90.0,Moderate Risk
The Bindery,94117,2018-09-26,9,26,94.0,Moderate Risk
CHEVRON #1512,94103,2017-10-04,10,4,98.0,Low Risk
VASQUEZ COFFEE CO,94124,2017-11-20,11,20,90.0,Low Risk
ELIZA'S RESTAURANT,94115,2016-09-21,9,21,92.0,Low Risk
