COLLEGE_ID,NAME,UNDERGRAD_POP,PCT_FED_LOAN,MEDIAN_GRAD_DEBT,SETTING
100200.0,Alabama A & M University,4824.0,76.97%,$32750,Urban
105200.0,University of Alabama at Birmingham,12866.0,52.07%,$21833,Urban
2503400.0,Amridge University,322.0,87.41%,$22890,Urban
105500.0,University of Alabama in Huntsville,6917.0,42.78%,$22647,Urban
100500.0,Alabama State University,4189.0,76.9%,$31500,Urban
105100.0,The University of Alabama,32387.0,38.78%,$23290,Urban
100700.0,Central Alabama Community College,1404.0,27.7%,$9500,Town
100800.0,Athens State University,2801.0,66.12%,$18000,Town
831000.0,Auburn University at Montgomery,4211.0,57.69%,$23363,Urban
100900.0,Auburn University,23391.0,31.98%,$21500,Urban
101200.0,Birmingham Southern College,1283.0,44.67%,$26045,Urban
1218200.0,Chattahoochee Valley Community College,1370.0,22.71%,$10500,Rural
1055400.0,Concordia College Alabama,389.0,81.18%,$35000,Town
1303906.0,South University-Montgomery,369.0,67.26%,$25000,Urban
101500.0,Enterprise State Community College,1365.0,16.47%,$6676,Town
106000.0,Coastal Alabama Community College,4101.0,44.46%,$11000,Town
100300.0,Faulkner University,2272.0,64.69%,$22850,Urban
101700.0,Gadsden State Community College,4349.0,0.0%,PrivacySuppressed,Urban
4187200.0,New Beginning College of Cosmetology,83.0,33.05%,$5900,Town
101800.0,George C Wallace Community College-Dothan,3836.0,0.0%,PrivacySuppressed,Urban
787100.0,George C Wallace State Community College-Hanceville,4805.0,32.43%,$10500,Town
569900.0,George C Wallace State Community College-Selma,1217.0,0.0%,PrivacySuppressed,Town
962107.0,Herzing University-Birmingham,537.0,76.92%,$23139.5,Suburb
101900.0,Huntingdon College,1099.0,70.64%,$27000,Urban
2199700.0,Heritage Christian University,59.0,20.0%,PrivacySuppressed,Urban
526000.0,J. F. Drake State Community and Technical College,685.0,0.0%,PrivacySuppressed,Urban
3002500.0,J F Ingram State Technical College,449.0,0.0%,PrivacySuppressed,Suburb
102000.0,Jacksonville State University,6622.0,64.66%,$23500,Urban
106010.0,Jefferson Davis Community College,720.0,0.0%,PrivacySuppressed,Town
102200.0,Jefferson State Community College,7052.0,18.89%,$7368,Urban
101300.0,John C Calhoun State Community College,8247.0,23.79%,$10592.5,Rural
102300.0,Judson College,315.0,66.26%,$21744,Rural
105900.0,Lawson State Community College,3034.0,0.0%,PrivacySuppressed,Urban
102400.0,University of West Alabama,2106.0,64.61%,$26500,Rural
898800.0,Lurleen B Wallace Community College,1354.0,0.0%,PrivacySuppressed,Rural
102600.0,Marion Military Institute,444.0,47.06%,$11500,Rural
102800.0,Miles College,1647.0,92.53%,$33754.5,Suburb
102900.0,University of Mobile,1276.0,76.16%,$26579.5,Rural
100400.0,University of Montevallo,2329.0,57.91%,$24264,Suburb
569700.0,Northwest-Shoals Community College,2698.0,24.81%,$13000,Urban
101600.0,University of North Alabama,5771.0,71.01%,$22309,Urban
103100.0,Northeast Alabama Community College,1983.0,0.0%,$4000,Rural
103300.0,Oakwood University,1623.0,72.73%,$31000,Urban
106006.0,Alabama Southern Community College,765.0,0.0%,PrivacySuppressed,Rural
569200.0,Reid State Technical College,285.0,0.0%,PrivacySuppressed,Rural
103000.0,Bishop State Community College,2623.0,0.0%,PrivacySuppressed,Urban
103600.0,Samford University,3364.0,32.45%,$20702,Suburb
4067300.0,Selma University,311.0,92.95%,PrivacySuppressed,Town
569100.0,Shelton State Community College,4230.0,0.0%,PrivacySuppressed,Urban
103800.0,Snead State Community College,1891.0,24.6%,$6000,Town
105700.0,University of South Alabama,10712.0,53.35%,$24761,Urban
104100.0,Spring Hill College,1375.0,75.81%,PrivacySuppressed,Urban
104400.0,Stillman College,633.0,86.31%,$33500,Urban
104600.0,Talladega College,782.0,97.04%,$31000,Town
573400.0,H Councill Trenholm State Community College,1610.0,0.0%,PrivacySuppressed,Urban
104700.0,Troy University,13634.0,61.82%,$25000,Town
105000.0,Tuskegee University,2833.0,65.2%,$32500,Town
2170600.0,United States Sports Academy,88.0,42.67%,PrivacySuppressed,Urban
573300.0,Bevill State Community College,3029.0,0.0%,PrivacySuppressed,Town
1146200.0,University of Alaska Anchorage,11332.0,23.11%,$17833.5,Urban
884300.0,Alaska Bible College,31.0,27.5%,PrivacySuppressed,Town
106300.0,University of Alaska Fairbanks,4910.0,22.47%,$15000,Suburb
106500.0,University of Alaska Southeast,1214.0,17.96%,$16000,Town
106100.0,Alaska Pacific University,247.0,48.32%,$19500,Urban
3160300.0,AVTEC-Alaska's Institute of Technology,967.0,6.11%,$5498.5,Rural
2576900.0,Charter College,2640.0,66.48%,$14875,Urban
2541000.0,Alaska Career College,430.0,76.45%,$8437,Urban
966403.0,Empire Beauty School-Tucson,118.0,69.27%,$11766,Urban
2317800.0,American Institute of Trucking,244.0,75.68%,$6002,Urban
2100600.0,Carrington College-Phoenix North,519.0,48.33%,$9500,Urban
2100611.0,Carrington College-Mesa,500.0,54.53%,$9500,Urban
2100607.0,Carrington College-Tucson,269.0,52.42%,$9500,Urban
3120300.0,CollegeAmerica-Flagstaff,78.0,79.21%,$25732,Urban
886400.0,Arizona Academy of Beauty-East,54.0,54.62%,$4942.5,Urban
2306807.0,Platt College-Arizona Automotive Institute Arizona,785.0,76.37%,$11332,Suburb
2218800.0,Brookline College-Phoenix,1056.0,63.57%,$9500,Urban
108100.0,Arizona State University-Tempe,42181.0,38.75%,$20000,Urban
107100.0,Arizona Western College,6879.0,2.46%,$4925,Urban
108300.0,University of Arizona,33428.0,39.2%,$19000,Urban
2491500.0,Southwest University of Visual Arts-Tucson,125.0,92.42%,$51488.5,Urban
728300.0,Central Arizona College,4822.0,12.37%,$8584,Rural
2280500.0,Charles of Italy Beauty College,51.0,61.54%,$7612,Urban
107200.0,Cochise County Community College District,3528.0,6.79%,$6835.5,Urban
1054207.0,Empire Beauty School-Flagstaff,37.0,65.52%,$11526,Urban
1054208.0,Empire Beauty School-Chandler,66.0,69.81%,$11526,Suburb
2582700.0,Cortiva Institute-Tucson,79.0,89.22%,$6333,Urban
1085800.0,Avalon School of Cosmetology-Mesa,298.0,54.7%,$7442,Urban
107300.0,Eastern Arizona College,3729.0,0.0%,PrivacySuppressed,Town
147902.0,Embry-Riddle Aeronautical University-Prescott,2598.0,47.75%,$24250,Rural
107600.0,Glendale Community College,14609.0,12.67%,$6750,Suburb
107400.0,Grand Canyon University,48666.0,58.31%,$18750,Urban
830300.0,GateWay Community College,4365.0,19.77%,$9182,Urban
107700.0,Mesa Community College,15759.0,15.64%,$7741.5,Urban
1186400.0,Mohave Community College,2875.0,12.72%,$12750,Rural
2100500.0,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,1020.0,51.78%,$15838,Urban
824600.0,Dine College,1363.0,0.0%,PrivacySuppressed,Rural
108200.0,Northern Arizona University,26974.0,46.9%,$19500,Urban
1186200.0,Northland Pioneer College,1453.0,0.0%,PrivacySuppressed,Rural
193701.0,Ottawa University-Phoenix,329.0,59.67%,$21257,Urban
107800.0,Phoenix College,9147.0,16.69%,$9521,Urban
2623800.0,Cortiva Institute-Scottsdale,82.0,90.34%,$7600,Urban
726600.0,Pima Community College,20165.0,9.83%,$6500,Urban
2217100.0,Pima Medical Institute-Tucson,2300.0,63.58%,$8708,Urban
2217103.0,Pima Medical Institute-Albuquerque,820.0,73.29%,$8708,Urban
2065300.0,Prescott College,350.0,61.89%,$19208.5,Urban
1168900.0,Refrigeration School Inc,732.0,66.31%,$11612,Urban
2177500.0,Rio Salado College,6086.0,11.43%,$7560,Urban
2113800.0,Roberto-Venn School of Luthiery,24.0,40.68%,PrivacySuppressed,Urban
3005000.0,Hair Academy of Safford,38.0,46.55%,PrivacySuppressed,Rural
830400.0,Scottsdale Community College,6025.0,11.05%,$7207,Rural
2146600.0,South Mountain Community College,3167.0,14.71%,$8575,Urban
711300.0,Arizona Christian University,696.0,59.02%,$18850,Urban
822100.0,Universal Technical Institute of Arizona Inc,1860.0,61.6%,$17365,Suburb
2171500.0,Western International University,597.0,9.0%,$26255.5,Urban
945915.0,Empire Beauty School-NW Phoenix,109.0,74.27%,$11709,Urban
107900.0,Yavapai College,4682.0,9.38%,$9550,Urban
110100.0,University of Arkansas at Little Rock,6677.0,42.61%,$19750,Urban
