City,County,Population,Income
Acalanes Ridge,Contra Costa,1226,160000.0
Acampo,San Joaquin,776,141250.0
Acton,Los Angeles,6956,92245.0
Adelanto,San Bernardino,31773,35262.0
Adin,Modoc,215,29583.0
Agoura Hills,Los Angeles,20630,107268.0
Agua Dulce,Los Angeles,2898,88864.0
Aguanga,Riverside,897,50213.0
Ahwahnee,Madera,2165,59129.0
Airport,Stanislaus,1547,21607.0
Alameda,Alameda,75763,76439.0
Alamo,Contra Costa,15639,163151.0
Albany,Alameda,19020,78769.0
Albion,Mendocino,295,12209.0
Alderpoint,Humboldt,255,32688.0
Alhambra,Los Angeles,84400,53195.0
Alhambra Valley,Contra Costa,499,62000.0
Aliso Viejo,Orange,49437,102325.0
Alleghany,Sierra,115,37663.0
Allendale,Solano,1613,123125.0
Allensworth,Tulare,480,25625.0
Alondra Park,Los Angeles,8833,55263.0
Alpaugh,Tulare,969,26927.0
Alpine,San Diego,14580,78433.0
Alpine Village,Alpine,105,66458.0
Alta,Placer,369,55833.0
Altadena,Los Angeles,44622,83917.0
Alta Sierra,Nevada,6902,68792.0
Alto,Marin,678,62235.0
Alturas,Modoc,2714,31087.0
Alum Rock,Santa Clara,10992,70202.0
Amador City,Amador,164,48750.0
American Canyon,Napa,20089,81955.0
Amesti,Santa Cruz,3213,48617.0
Anaheim,Orange,342973,59707.0
Anchor Bay,Mendocino,254,34191.0
Anderson,Shasta,10066,35225.0
Angels,Calaveras,3782,55114.0
Angwin,Napa,3583,66765.0
Antelope,Sacramento,47798,64122.0
Antioch,Contra Costa,105630,65770.0
Anza,Riverside,2356,39489.0
Apple Valley,San Bernardino,70561,48337.0
Aptos,Santa Cruz,5872,78929.0
Aptos Hills-Larkin Valley,Santa Cruz,1808,74185.0
Arbuckle,Colusa,3009,47639.0
Arcadia,Los Angeles,57251,80147.0
Arcata,Humboldt,17679,30244.0
Arden-Arcade,Sacramento,92844,45750.0
Armona,Kings,3531,38622.0
Arnold,Calaveras,2728,58688.0
Aromas,MontereySan Benito,2677,67019.0
Arroyo Grande,San Luis Obispo,17536,63558.0
Artesia,Los Angeles,16698,60544.0
Artois,Glenn,194,60096.0
