,Coffee,Size,Tip
0,Macchiato,Sm,2.45
1,Macchiato,Sm,0.4
2,Cappuccino,Sm,4.39
3,Macchiato,Sm,2.26
4,Latte,Md,3.31
5,Latte,Lg,0.0
6,Latte,Md,1.62
7,Latte,Md,2.68
8,Cappuccino,Md,3.09
9,Latte,Md,1.06
10,Latte,Lg,0.06
11,Latte,Md,1.31
12,Macchiato,Sm,2.06
13,Latte,Md,1.98
14,Latte,Sm,2.04
15,Latte,Md,1.08
16,Cappuccino,Md,1.53
17,Latte,Sm,3.97
18,Latte,Md,0.71
19,Cappuccino,Sm,1.6
20,Macchiato,Sm,3.1
21,Americano,Md,1.2
22,Cappuccino,Md,1.36
23,Macchiato,Sm,0.0
24,Latte,Lg,2.26
25,Cappuccino,Md,1.05
26,Macchiato,Sm,2.87
27,Espresso,Sm,1.37
28,Latte,Md,3.39
29,Cappuccino,Md,3.31
30,Cappuccino,Md,1.6
31,Cappuccino,Md,2.5
32,Latte,Sm,1.24
33,Latte,Md,0.0
34,Americano,Md,3.98
35,Latte,Md,1.41
36,Cappuccino,Lg,0.89
37,Latte,Md,0.89
38,Latte,Md,0.66
39,Macchiato,Sm,1.87
40,Cappuccino,Lg,3.0
41,Latte,Md,2.47
42,Latte,Md,2.83
43,Cappuccino,Lg,4.41
44,Latte,Md,3.85
45,Americano,Md,3.9
46,Latte,Md,3.22
47,Latte,Md,2.55
48,Espresso,Md,1.01
49,Cappuccino,Md,3.14
50,Latte,Md,2.03
51,Latte,Lg,0.18
52,Latte,Lg,3.34
53,Latte,Md,2.26
54,Espresso,Md,2.1
55,Latte,Lg,2.08
56,Latte,Lg,1.04
57,Cappuccino,Sm,2.11
58,Latte,Lg,2.66
59,Latte,Lg,1.09
60,Latte,Sm,0.44
61,Cappuccino,Lg,1.31
62,Cappuccino,Lg,2.08
63,Cappuccino,Sm,4.03
64,Cappuccino,Sm,1.11
65,Macchiato,Sm,0.09
66,Macchiato,Sm,2.96
67,Cappuccino,Md,1.7
68,Macchiato,Sm,0.12
69,Cappuccino,Lg,1.96
70,Latte,Md,1.83
71,Latte,Md,3.38
72,Macchiato,Sm,1.56
73,Latte,Md,3.02
74,Latte,Md,3.29
75,Macchiato,Sm,0.0
76,Cappuccino,Sm,0.6
77,Latte,Lg,1.32
78,Americano,Md,1.32
79,Macchiato,Sm,3.41
80,Latte,Md,2.09
81,Espresso,Lg,1.21
82,Cappuccino,Sm,1.23
83,Latte,Sm,1.61
84,Cappuccino,Sm,3.06
85,Latte,Md,2.72
86,Latte,Lg,2.61
87,Latte,Lg,3.28
88,Latte,Md,1.93
89,Latte,Lg,0.19
90,Macchiato,Sm,0.13
91,Cappuccino,Md,1.61
92,Cappuccino,Md,2.89
93,Cappuccino,Lg,1.31
94,Cappuccino,Md,2.83
95,Latte,Md,1.63
96,Latte,Md,0.84
97,Latte,Md,0.91
98,Macchiato,Sm,0.7
99,Macchiato,Sm,2.04
100,Macchiato,Sm,0.88
101,Latte,Sm,2.69
102,Espresso,Md,0.2
