label,value
C,-0.4728711814567746
B,1.725308194162999
C,-0.8383197457971657
C,-0.2934769957516432
B,1.7154526161704498
C,-0.5933769434354306
B,
C,-0.5589547184471804
C,-0.8250627459766343
B,1.1490284608651569
B,1.7173790771433015
C,-0.5686353852720082
B,1.102155575529585
C,-0.9380684701906372
A,0.12543592021131755
B,1.905562742698054
B,1.8765172476675112
C,-0.2271104338975501
C,-0.2027982940459906
C,-0.5051446762162558
B,1.5547965089282585
B,1.0672734224856075
B,1.2396576179946028
C,-0.9825220285251252
C,-0.9157692996002328
B,1.3833338492240053
C,-0.03557009873924799
C,-0.12955286480035055
B,1.5843361779237195
A,0.7642260312718309
B,1.4996406964593083
C,
C,-0.6592229368417218
C,-0.3719302625046361
C,-0.9585713561602862
C,-0.6752973195569423
B,1.7557622065886345
C,-0.05201568280209623
C,-0.12337336582200098
C,-0.7177335169267021
B,1.1309206031372867
B,1.1635055510254404
C,-0.9540049361645576
B,1.422238012499589
B,1.5891353121014418
B,1.7549169986034
A,0.895767991971331
C,-0.6616084005827839
C,-0.3944980869454435
C,-0.2840834890325138
B,1.7528821755848198
B,1.406398803837274
B,1.8447969349526951
C,-0.8992144607675188
C,-0.9990027416053812
B,
B,
C,-0.9490121937324776
B,1.9449127112192883
C,-0.9394725489509668
B,1.3529520280096818
C,-0.6865388721089496
C,-0.12413675997944308
B,1.5741638722596751
B,1.1420134996767888
C,-0.8316617153369875
A,
C,-0.5970362042137615
C,-0.6711302265480972
C,-0.03725072148595654
B,1.7862281909303526
B,1.0775218629512704
C,-0.6238673240927111
A,0.5060506581233593
B,1.7343687715889615
A,0.3695753126358511
B,1.8594909629655043
C,-0.4999381371340528
C,-0.4153252433059476
C,-0.763064265384808
B,1.2167986719349009
B,1.8922669495764477
C,-0.4435947394517049
C,-0.3693135897567267
C,-0.6322001387085657
B,1.7538373849205708
B,1.2881681351571348
B,1.1610155302464724
C,-0.4906618603076465
A,0.4132677020295431
C,-0.5382464283266345
B,1.3358902921242537
B,1.6719210929175916
B,1.8083295428089248
B,1.6811322222785032
C,-0.28302722039508244
C,-0.20407669614342028
B,1.7104294918803271
C,-0.6637676646570909
B,1.4534580138982016
B,1.0079075626948564
C,-0.02062144700030211
B,1.105079495103631
B,
B,1.7170095148945812
C,-0.9919679474875012
C,-0.6671419183807148
C,-0.7213336336708245
C,-0.5455045161734963
B,
A,0.5997579474686778
C,-0.07356328025788694
B,1.1578397186347291
C,-0.3298676164098796
A,
B,1.9241316553318557
B,
B,1.474799136454665
C,-0.66369716007317
C,-0.4499926717113101
C,-0.8922986896721891
C,-0.8650642271298796
A,0.3743892115844122
C,-0.9479946270277608
C,-0.9269485594635544
B,1.2381605360669132
B,1.0219520159016422
C,-0.7367607276099446
A,
C,-0.03397406099702849
B,
B,1.2299508918063262
B,
B,1.6224706554205317
C,-0.8032752519541366
C,-0.11145231772815234
B,1.2833005821261836
C,-0.20260360424081306
B,1.5014121737846378
C,-0.017895380116055404
A,0.8702482908222706
A,
A,
C,-0.8847980113728015
B,1.5663883607646425
C,-0.6874870082469808
C,-0.4851765928656446
B,1.2034029031474724
B,1.6895031711634194
B,1.1591827463774238
B,1.1528891331642277
B,1.4777105246292384
C,-0.9467115690192476
B,1.233063015078971
C,-0.22303347623672154
A,0.7553995015525599
C,-0.9694689927768604
C,-0.5752947370591871
C,-0.3535044698701554
B,1.6273605521322354
C,-0.4320022879427689
C,-0.6757076260800208
C,-0.2263758089942657
C,-0.7495548179326115
B,1.9691496419302996
A,
C,-0.14867025925113442
A,
B,1.8961506842287943
B,1.7957805808446647
C,-0.5660616405533162
C,-0.15368191168341305
B,1.0055966544532582
B,1.8147831173583169
A,
C,-0.7473135325409882
C,-0.5884360921629296
C,-0.6870576366161629
C,-0.8333539099769222
C,
A,
B,1.2300685800600646
B,1.9165141193770008
C,
B,1.8529471474205117
C,-0.11897380201578568
B,1.9327942491267351
C,
B,
B,1.5256503915680817
C,-0.5882033898754782
A,
C,-0.6221524474422343
C,-0.904483577234274
C,-0.5940157121257463
B,1.4963291322250307
C,-0.2354144960768164
C,-0.4984044834304675
C,-0.3208218073037531
B,1.0077960116522475
B,1.9557346832245448
B,
B,1.4988815826066824
C,-0.20659215305882872
A,0.1300582936615614
C,-0.5941548517825781
C,-0.2484187802855562
B,1.7028962829614795
C,-0.7755538840355274
C,-0.15946836343507886
B,1.811034953937129
C,
C,-0.15184167983947572
A,
C,-0.3715832996853674
B,1.626926559052745
A,
C,-0.3195520825159486
C,-0.29471345555353223
C,-0.4482541391618027
C,-0.9031427590688532
B,
B,
A,0.7595098119630949
A,
A,0.5990212291971752
B,1.8214885506589753
B,1.9947366937546227
A,
B,1.0497877301003098
C,-0.5325077932000665
B,1.5893836771779724
B,1.626734492358191
B,1.941365309718024
A,0.4556738195591827
B,1.1707287352354012
C,-0.9695290195164404
B,1.6699880261885127
B,
B,1.6899833583179753
C,-0.028550263236677975
B,1.5867697214108232
B,1.7471162773770312
C,-0.4753290303362446
C,-0.9387645524187024
B,1.5701218839502262
C,-0.6406644225787652
C,-0.9559151551920904
B,1.780003381314644
C,-0.04878180730086623
C,-0.1608154305668612
C,-0.6556137621272469
B,1.8495562350619241
B,1.7052574257416553
B,
C,-0.18210041006965527
B,1.8612872230531883
A,
B,
C,-0.4490389048797715
C,
C,-0.7420815679167326
A,0.3102218706080615
C,-0.7663351123133172
C,-0.30387920315569306
B,1.854692608691656
B,1.7938076493167554
B,1.583351668383478
C,
C,-0.02411326132875835
C,-0.8447767025319144
C,-0.11183766987804966
B,1.5430130797655393
B,1.280780353941848
B,1.0185681813039835
C,-0.5739028093288551
C,-0.319301586728013
B,1.4812815911320891
C,-0.9524906306218353
C,-0.7257763088745577
C,-0.2647803631707948
B,1.4345839336436352
C,-0.21918643626646966
B,1.878742179607393
C,-0.6245751359792108
C,-0.37184591198769107
B,
C,-0.9991429095385296
A,
C,-0.4974385799991331
B,1.7637853805236092
B,1.2252401847149057
B,1.4576963617267946
C,-0.4755519369038458
C,-0.6333670818766458
C,-0.8528099888640591
C,-0.9242104800262572
B,1.1849463437372707
B,1.6370862608829486
B,
B,1.0379728360549492
C,-0.8621947566085765
C,-0.6450528514808226
B,1.6917989945236056
C,-0.034915446073678365
B,
B,1.7220342717587278
C,-0.7669166146946319
C,-0.2394869053648772
A,0.7267333685701952
B,
B,1.6959925882460802
B,1.4927356712673958
B,1.8409167060105989
B,1.9109500744506536
C,-0.1895758516058924
C,-0.6618328785053957
B,1.367290042908217
B,
C,-0.8906989028285207
B,
C,-0.8687066441865117
B,1.9779153431836942
C,-0.2595272231257317
C,-0.4844618071001936
C,-0.13794706210446514
B,1.9337804369514824
B,
C,-0.6702173141382572
C,-0.5415100112902537
A,
C,-0.8989919712978102
C,-0.016475403398621746
B,
B,1.6919442203905637
C,-0.3149017605708435
C,-0.91056778246389
C,-0.2578028648493175
A,
B,1.7412506692664866
C,-0.8244831169777529
B,
C,-0.8542893484298207
C,-0.6291009027261852
C,-0.6346257542326077
B,
C,-0.17783883260712618
C,-0.7339962045728858
C,-0.4716496651619845
C,-0.23753641813371876
B,1.2674333203216603
B,1.4777861843307425
C,-0.7498572178181442
C,-0.58317628894367
B,
C,
B,
B,1.1039146265487116
C,-0.1878993695251313
B,1.1746355498923504
C,-0.018766599725143385
B,
B,1.768303502511329
A,0.31345674363508336
C,-0.9335662243104328
B,1.7438089046861152
A,
C,-0.13492430665856636
C,-0.8866535475071837
A,0.6114562585213916
A,0.17923236649269214
B,1.3309525311072945
B,1.4398213561639783
C,-0.5414085646659678
C,-0.6385521966334973
C,-0.6906372097247663
C,-0.12791732130265054
C,-0.5540783814552374
B,1.7123087231195615
C,-0.6209051027974161
B,
B,1.7053677226119859
C,-0.3620668017676956
A,
C,-0.9904253596271899
B,1.4820866297034507
C,-0.2577958863206137
B,1.7271796014779481
C,-0.595971100908849
C,-0.8288850440900769
B,1.9501616649988285
B,
C,-0.1522892183436948
B,1.7433212004855454
C,-0.4390137616719155
C,-0.2050241818882691
A,
C,-0.961588295904656
A,
C,-0.6356176494935137
C,-0.15675326996752936
C,-0.44109101291935215
C,-0.8598669278777076
C,-0.2525853390513676
C,-0.8793596315490554
A,0.6075626384143209
C,-0.94854458577654
B,1.4379639453229425
B,1.4069545799689611
B,1.1829354171625328
C,-0.7318362089153712
B,1.1972546603363958
C,-0.6966394073167442
C,-0.4533134919848796
C,-0.7701252566286451
C,-0.8340479703355369
C,-0.6287482897259917
A,0.8192491287378657
A,
A,
B,1.508623735732184
C,-0.9218315432771153
A,0.8468270222456538
B,1.5995997206659869
C,-0.24031151707948906
B,1.542284447018463
B,1.0537841756779225
C,-0.6877120367276314
C,-0.5176173323112091
A,0.7019899562526553
C,-0.3215191661141463
B,1.6622291911003413
B,1.9887267873397791
C,-0.7196240380600457
C,-0.428655795608325
C,-0.7758431287282275
C,-0.960965154951042
C,-0.12374924185952485
A,0.7762775661761188
B,1.9404368299059267
C,-0.5340284291097456
C,-0.08621257687063978
A,
C,-0.3849379400062943
B,1.7399306097429552
B,1.4910483551747689
C,-0.7701520167114617
C,-0.507249710485329
B,1.3503469256992782
B,1.3348025323469677
B,1.1550180958167395
B,1.0888034584677344
B,
C,-0.7654212943326093
B,1.264054111943582
B,1.9767436170643893
B,1.0878343833533273
B,1.0080513006581708
B,1.07426022932659
B,1.7578194448524518
A,0.676280398669555
A,0.4754903193928307
B,1.6361250381745245
B,1.2505940772535191
C,-0.010379063544604716
C,
C,-0.4545321883825724
B,
C,-0.6514313111885279
C,-0.5318863074341982
B,1.9202213407170112
B,1.4651748598280263
A,0.28021312186832115
